Core: top_mem_if_ddr3a_p0 - Instance: u0|mem_if_ddr3a
Path, Setup Margin, Hold Margin
"Address Command (Slow 900mV 85C Model)",0.123,0.209
"Bus Turnaround Time (Slow 900mV 85C Model)",0.99,--
"Core (Slow 900mV 85C Model)",0.117,0.106
"Core Recovery/Removal (Slow 900mV 85C Model)",0.92,0.058
"Postamble (Slow 900mV 85C Model)",0.251,0.251
"Read Capture (Slow 900mV 85C Model)",0.083,0.059
"Read Resync (Slow 900mV 85C Model)",1.515,11.117
"Write (Slow 900mV 85C Model)",0.078,0.078
"Write Leveling tDQSS (Slow 900mV 85C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Slow 900mV 85C Model)",0.345,0.345
"Address Command (Slow 900mV 0C Model)",0.172,0.201
"Bus Turnaround Time (Slow 900mV 0C Model)",1.041,--
"Core (Slow 900mV 0C Model)",0.224,0.063
"Core Recovery/Removal (Slow 900mV 0C Model)",1.107,0.08
"Postamble (Slow 900mV 0C Model)",0.263,0.263
"Read Capture (Slow 900mV 0C Model)",0.098,0.074
"Read Resync (Slow 900mV 0C Model)",1.568,11.165
"Write (Slow 900mV 0C Model)",0.103,0.103
"Write Leveling tDQSS (Slow 900mV 0C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Slow 900mV 0C Model)",0.345,0.345
"Address Command (Fast 900mV 85C Model)",0.182,0.229
"Bus Turnaround Time (Fast 900mV 85C Model)",1.173,--
"Core (Fast 900mV 85C Model)",0.128,0.088
"Core Recovery/Removal (Fast 900mV 85C Model)",1.443,-0.027
"Postamble (Fast 900mV 85C Model)",0.265,0.265
"Read Capture (Fast 900mV 85C Model)",0.11,0.086
"Read Resync (Fast 900mV 85C Model)",1.763,11.393
"Write (Fast 900mV 85C Model)",0.108,0.108
"Write Leveling tDQSS (Fast 900mV 85C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Fast 900mV 85C Model)",0.345,0.345
"Address Command (Fast 900mV 0C Model)",0.215,0.219
"Bus Turnaround Time (Fast 900mV 0C Model)",1.184,--
"Core (Fast 900mV 0C Model)",0.129,0.112
"Core Recovery/Removal (Fast 900mV 0C Model)",1.574,-0.026
"Postamble (Fast 900mV 0C Model)",0.238,0.238
"Read Capture (Fast 900mV 0C Model)",0.117,0.093
"Read Resync (Fast 900mV 0C Model)",1.761,11.384
"Write (Fast 900mV 0C Model)",0.122,0.122
"Write Leveling tDQSS (Fast 900mV 0C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Fast 900mV 0C Model)",0.345,0.345
